trialNum	rule	iterationName	gameid	time	firstRole	salientFeature	distr1Feature	distr2Feature	selection	timeFromRoundStart	eventType
0	birds_purple_tails	development	0259-d3a9ce5c-01e0-4167-9a04-39fe37e6b9a0	1554917730728	speaker	bird-crest_tail_color-purple	bird-tail_present-true	bird-crest_tail_color-orange	target	84574	clickedObj
1	birds_tails	development	0259-d3a9ce5c-01e0-4167-9a04-39fe37e6b9a0	1554917757952	speaker	bird-tail_present	bird-crest_tail_color-white	bird-crest_tail_color-purple	target	22530	clickedObj
2	fish_white_bodies_orange_stripes_or_fangs	development	0259-d3a9ce5c-01e0-4167-9a04-39fe37e6b9a0	1554917784976	speaker	fish-body_color-white	fish-stripes_color-white	fish-stripes_color-purple	target	21608	clickedObj
3	flowers_purple_centers_or_orange_stems_with_thorns	development	0259-d3a9ce5c-01e0-4167-9a04-39fe37e6b9a0	1554917824399	speaker	flower-center_color-purple	flower-petals_color-orange	flower-center_color-orange	target	34393	clickedObj
4	bugs_purple_wings_or_white_legs	development	0259-d3a9ce5c-01e0-4167-9a04-39fe37e6b9a0	1554917845000	speaker	bug-bug_wings_color-purple	bug-legs_color-purple	bug-antennae_present-false	target	13875	clickedObj
5	flowers_purple_stems_or_thorns_white_centers	development	0259-d3a9ce5c-01e0-4167-9a04-39fe37e6b9a0	1554917857259	speaker	flower-center_color-white	flower-petals_color-purple	flower-thorns_present-false	target	8461	clickedObj
6	flowers_purple_stems_white_petals_or_orange_centers	development	0259-d3a9ce5c-01e0-4167-9a04-39fe37e6b9a0	1554917875981	speaker	flower-petals_color-white	flower-stem_color-purple	flower-thorns_present-false	target	12552	clickedObj
7	fish_orange_bodies_purple_stripes_or_whiskers	development	0259-d3a9ce5c-01e0-4167-9a04-39fe37e6b9a0	1554917885542	speaker	fish-stripes_color-purple	fish-stripes_color-orange	fish-stripes_present-false	target	5496	clickedObj
8	fish_fangs	development	0259-d3a9ce5c-01e0-4167-9a04-39fe37e6b9a0	1554917905090	speaker	fish-fangs_present	fish-stripes_color-purple	fish-stripes_present-false	target	14211	clickedObj
9	bugs_purple_legs_white_heads_or_orange_wings	development	0259-d3a9ce5c-01e0-4167-9a04-39fe37e6b9a0	1554917913946	speaker	bug-bug_wings_color-orange	bug-body_color-purple	bug-bug_wings_color-purple	target	5520	clickedObj
10	trees_purple_berries	development	0259-d3a9ce5c-01e0-4167-9a04-39fe37e6b9a0	1554917925020	speaker	tree-berries_color-purple	tree-leaves_color-purple	tree-trunk_color-purple	target	6421	clickedObj
11	fish_whiskers	development	0259-d3a9ce5c-01e0-4167-9a04-39fe37e6b9a0	1554917936803	speaker	fish-whiskers_present	fish-stripes_color-white	fish-stripes_color-purple	target	5954	clickedObj
12	trees_purple_trunks_or_white_leaves_orange_berries	development	0259-d3a9ce5c-01e0-4167-9a04-39fe37e6b9a0	1554917947759	speaker	tree-trunk_color-purple	tree-trunk_color-purple	tree-leaves_color-white	target	4907	clickedObj
13	bugs_without_wings	development	0259-d3a9ce5c-01e0-4167-9a04-39fe37e6b9a0	1554917964825	speaker	bug-wings_present	bug-antennae_color-orange	bug-legs_color-purple	target	11140	clickedObj
14	flowers_purple_stems_thorns	development	0259-d3a9ce5c-01e0-4167-9a04-39fe37e6b9a0	1554917985659	speaker	flower-stem_color-purple	flower-thorns_present-true	flower-center_color-white	target	14767	clickedObj
15	birds_white_crests_or_orange_wings_tails	development	0259-d3a9ce5c-01e0-4167-9a04-39fe37e6b9a0	1554917997087	speaker	bird-crest_tail_color-white	bird-bird_wing_color-white	bird-tail_present-true	target	6324	clickedObj
16	bugs_white_heads_or_orange_antennae_purple_legs	development	0259-d3a9ce5c-01e0-4167-9a04-39fe37e6b9a0	1554918010591	speaker	bug-legs_color-purple	bug-wings_present-true	bug-head_color-orange	target	7490	clickedObj
17	bugs_antennae_or_wings_purple_bodies	development	0259-d3a9ce5c-01e0-4167-9a04-39fe37e6b9a0	1554918023477	speaker	bug-body_color-purple	bug-body_color-purple	bug-antennae_color-orange	target	7918	clickedObj
18	fish_white_bodies_orange_stripes_or_fangs	development	0259-d3a9ce5c-01e0-4167-9a04-39fe37e6b9a0	1554918031453	speaker	fish-stripes_color-orange	fish-stripes_color-orange	fish-body_color-orange	target	2720	clickedObj
19	trees_purple_berries_or_white_trunks	development	0259-d3a9ce5c-01e0-4167-9a04-39fe37e6b9a0	1554918044259	speaker	tree-trunk_color-white	tree-leaves_color-purple	tree-trunk_color-white	target	8014	clickedObj
20	trees_without_leaves	development	0259-d3a9ce5c-01e0-4167-9a04-39fe37e6b9a0	1554918074878	speaker	tree-leaves_present	tree-berries_color-orange	tree-leaves_color-white	distr1	25240	clickedObj
21	trees_leaves_berries_or_orange_trunks	development	0259-d3a9ce5c-01e0-4167-9a04-39fe37e6b9a0	1554918086059	speaker	tree-trunk_color-orange	tree-leaves_color-purple	tree-trunk_color-orange	target	7350	clickedObj
22	birds_orange_tails_or_white_wings_orange_crests	development	0259-d3a9ce5c-01e0-4167-9a04-39fe37e6b9a0	1554918101476	speaker	bird-bird_wing_color-white	bird-crest_tail_color-purple	bird-crest_present-true	target	10254	clickedObj
23	fish_orange_bodies_or_fangs	development	0259-d3a9ce5c-01e0-4167-9a04-39fe37e6b9a0	1554918109628	speaker	fish-body_color-orange	fish-stripes_color-orange	fish-stripes_color-purple	target	3681	clickedObj
24	flowers_orange_stems	development	0259-d3a9ce5c-01e0-4167-9a04-39fe37e6b9a0	1554918124527	speaker	flower-stem_color-orange	flower-stem_color-orange	flower-center_color-white	target	9760	clickedObj
25	trees_purple_trunks_or_white_leaves_orange_berries	development	0259-d3a9ce5c-01e0-4167-9a04-39fe37e6b9a0	1554918149127	speaker	tree-leaves_color-white	tree-trunk_color-white	tree-berries_present-false	target	19015	clickedObj
26	bugs_orange_head	development	0259-d3a9ce5c-01e0-4167-9a04-39fe37e6b9a0	1554918158555	speaker	bug-head_color-orange	bug-body_color-purple	bug-bug_wings_color-purple	target	3260	clickedObj
27	fish_white_stripes_whiskers	development	0259-d3a9ce5c-01e0-4167-9a04-39fe37e6b9a0	1554918188130	speaker	fish-stripes_present	fish-body_color-orange	fish-stripes_color-orange	target	23969	clickedObj
28	birds_orange_crests_or_purple_wings	development	0259-d3a9ce5c-01e0-4167-9a04-39fe37e6b9a0	1554918196495	speaker	bird-crest_tail_color-orange	bird-bird_wing_color-white	bird-crest_tail_color-white	target	3925	clickedObj
29	flowers_purple_petals_or_thorns	development	0259-d3a9ce5c-01e0-4167-9a04-39fe37e6b9a0	1554918207840	speaker	flower-petals_color-purple	flower-center_color-white	flower-petals_color-white	distr2	6719	clickedObj
30	bugs_orange_antennae_or_wings	development	0259-d3a9ce5c-01e0-4167-9a04-39fe37e6b9a0	1554918220291	speaker	bug-antennae_color-orange	bug-bug_wings_color-orange	bug-head_color-orange	target	7955	clickedObj
31	trees_leaves_berries_or_orange_trunks	development	0259-d3a9ce5c-01e0-4167-9a04-39fe37e6b9a0	1554918231827	speaker	tree-berries_present	tree-trunk_color-white	tree-trunk_color-orange	target	7958	clickedObj
32	bugs_white_heads_or_orange_antennae_purple_legs	development	0259-d3a9ce5c-01e0-4167-9a04-39fe37e6b9a0	1554918245937	speaker	bug-head_color-white	bug-head_color-orange	bug-body_color-purple	distr1	6686	clickedObj
33	birds_orange_wings_tails	development	0259-d3a9ce5c-01e0-4167-9a04-39fe37e6b9a0	1554918254765	speaker	bird-bird_wing_color-orange	bird-crest_tail_color-white	bird-bird_wing_color-orange	target	5414	clickedObj
34	flowers_thorns	development	0259-d3a9ce5c-01e0-4167-9a04-39fe37e6b9a0	1554918265462	speaker	flower-thorns_present	flower-petals_color-purple	flower-thorns_present-true	target	6753	clickedObj
35	flowers_purple_stems_white_petals_or_orange_centers	development	0259-d3a9ce5c-01e0-4167-9a04-39fe37e6b9a0	1554918277674	speaker	flower-center_color-orange	flower-stem_color-purple	flower-petals_color-white	target	6740	clickedObj
36	bugs_purple_wings_or_white_legs	development	0259-d3a9ce5c-01e0-4167-9a04-39fe37e6b9a0	1554918288236	speaker	bug-legs_color-white	bug-wings_present-false	bug-bug_wings_color-orange	target	4710	clickedObj
37	trees_purple_leaves_berries	development	0259-d3a9ce5c-01e0-4167-9a04-39fe37e6b9a0	1554918299764	speaker	tree-leaves_color-purple	tree-trunk_color-purple	tree-trunk_color-orange	target	5730	clickedObj
38	bugs_wings_antennae	development	0259-d3a9ce5c-01e0-4167-9a04-39fe37e6b9a0	1554918312519	speaker	bug-antennae_present	bug-antennae_color-orange	bug-bug_wings_color-orange	target	6034	clickedObj
39	birds_orange_crests_or_purple_wings	development	0259-d3a9ce5c-01e0-4167-9a04-39fe37e6b9a0	1554918321701	speaker	bird-crest_present	bird-bird_wing_color-white	bird-tail_present-true	target	4974	clickedObj
40	flowers_orange_petals_purple_centers	development	0259-d3a9ce5c-01e0-4167-9a04-39fe37e6b9a0	1554918332252	speaker	flower-petals_color-orange	flower-center_color-white	flower-petals_color-white	target	7168	clickedObj
41	birds_orange_crests_or_purple_wings	development	0259-d3a9ce5c-01e0-4167-9a04-39fe37e6b9a0	1554918340922	speaker	bird-bird_wing_color-purple	bird-bird_wing_color-purple	bird-bird_wing_color-orange	target	2624	clickedObj
