example_id	message
-9172689147116042889	white head white antenna
-9005105910402848759	pink feathes only on bottom
-8809598024457967709	no stripes on body
-8794779879575967676	orange petals with white center dot
-8769700370037862409	no wings, white antennae 
-8703838065427925038	ok I see a fish with white stripes
-8684689358812486879	yellow feathers on top pink wing
-8506243822047588852	Click the one with green berries and NO leaves~~~
-8448634837873417874	orange leaves blue berries
-8443357761813233867	Click the one without feathers sticking out 
-8333175381904238803	purple antenna, white legs
-8164450317590656876	no wings
-8106079664950501648	He has purple legs and no antenna
-8101020843163220130	red trunk blue leaves
-8006529039091870298	white berries, no leaves
-7882764559386766363	green trunk red leaves
-7780865098769870314	Click the one with a white head and antennas
-7761115228081783011	purple everything wings
-7679864874022119779	blue stem and blue and green tree
-7666746262988878047	fish have strips and contain no color
-7611707345577922873	PINK WITH WHITE DOTS
-7595220966598260369	purple wing orange tail
-7592919638380316992	Purple stem and yellow petals
-7493758895737104612	every part is a shade of purple
-7479146053051542501	Click the one with a purple head and a white body
-7297071363227044978	he has stripes and whiskers white body, yellow stripes
-7290937363698249104	Click the purple fish with purple stripes
-7226535023870210511	Click the one with purple legs and an orange head
-7163846426283309179	white tail orange wing
-7070849289874982356	orange head purple wings
-7067347617880241756	the bird does not contain any feathers 
-7001383546392898914	insect have mustache and doesn't have wings
-6981330390477568514	no feathers or arm
-6965562652289329063	purple petals and white center
-6866221763519198704	green trunk with blue berries and leaves
-6862283373672800954	choose orange wing with white feathers
-6765336540070828069	Purple wings and no tail
-6748937855090041616	Blue trunk and green leaves
-6695756875930478162	orange berries, no leaves
-6580206350062351863	the flower doesnot contain any color and center point all doesn't contain any color
-6575977525399932869	all white feathers
-6559940206926962771	purple stripes and fangs
-6550663988840689653	Click the one that has a purple arm wing and an orange tail of feathers
-6537324780340717236	pick the critter with pink center and orange petals
-6471112345785682649	blue-red-white
-6383589367749067311	Click the one with purple stripes and whiskers/hair coming out of it's face
-6381523483990321795	blue stem with red and white
-6375382920651017615	white stripes with tooth
-6374478533289795523	Click the one with blue leaves and white berries
-6336528376595405866	no wings, no antennae
-6316600122141205879	blu-red-wh
-6314704251039533094	white stripes and no teeth
-6295278159188406104	blue leaves pink dots and pink trunk
-6265966616041916868	purple head and white antenna
-6218020842370575761	wh face-org legs
-6060675026631204584	He's mostly white and has no yellow
-6019282289363107561	WHITE STEM ORANGE CENTER what color flowers?
-5952603109184915002	Click the one that is a purple fish with orange stripes
-5942694180154987294	pink fish orange stripes
-5768806900536701642	white-no whiskers
-5709198641650967513	flower center doesn't contain a color
-5658455424181806491	orange head and purple antenna
-5475072876253120191	green leaves no berries
-5374481149184179241	the bird in differnt color is the body orange
-5373463915544247396	white legs purple antenna
-5356033568169653397	orange wings purple legs
-5337451993856989373	white stem white petals
-5190218303897889715	The leaves are red
-5050307186408081571	blue stem and flowers
-4905355172112309932	Click the one with green leaves
-4816861885369568093	no tail
-4768061976695243443	Orange fish and pink stripes whiskers? Nope
-4757745147098436073	pur arm-no feet feathers
-4743205094174999205	Orange stem and white dots what color flowers? Red leaves
-4573639424236026865	white fish no whisker no tooth
-4534080058607919243	all blue
-4363992700080628056	green and white flowers
-4297647939790685922	the center round contain yellow color
-4297214620632442309	orge legs
-4287049067590627059	the fish doesn't contain mustache is the body purple yes
-4280382733902190327	One pink feather
-4248730784607914382	green petals
-4231360081722522720	pink fish and white stripes
-4228514540652510435	has feathers on top not long on bottom
-4199184528524186800	yellow stripes
-4128773502099850987	ORANGE WITH WHITE TAIL
-4114481141329450063	feelers-pur face
-4105012233890436950	wh stem- green only
-4081418437125005863	NO DOTS ON LEAFS
-4016870160372283479	white tail F
-4016395057790037494	bird doesnot have any tail and wing
-3924149440587526428	the tree contain all color
-3902978234522544730	purple center and petals NO spikes
-3852430303645567386	the flower stem different in color 
-3813915489821205284	orange head and wings
-3797484696835604919	white stem, purple leaves and yellow center
-3679592575208833402	orange stem flower with white center dot orange petals too sorry
-3651889579334733599	the center is white
-3633652836462998083	the fish contain all color
-3626351780321282966	leg doesnot contain a color and mustache also
-3596375401972951930	fully red in color
-3587739092683146972	He has no feathers
-3553748775210001044	no tail feathers
-3467457491718805796	blk and white stripes
-3361973876758061161	All purple, no antennae
-3346387893760772390	pick orange center and orange petals
-3250203762077798463	yellow trunk and green leaves
-3235382560545705284	white wings
-3208336438868026772	the stem color is yellow and leaf doesn't contain any color
-3186871295907886031	Click the one that has white wings and purple antennas
-3166944200447792498	choose red berries with white leaves
-3047272633316478738	tree is fully green
-3036464468880772620	white with pink stripes
-3022689761031169096	Click the one with purple leaves and a white round center
-3015880123943253251	Yellow legs and white wings
-2998410502297794656	purple and blue flowers
-2937087842838436813	no berries
-2903445145910118338	No stripes, he has whiskers and teeth
-2693647892084540696	orange tail
-2595466527821689428	purple fish with no stripes
-2567056682755912206	orange stem thanks! thank you too!
-2562159848871166434	PINK FEATHERS EXCEPT ONE WHITE ONE
-2501288656741518514	the stem in red and doesn't contain bubble
-2418848355306859394	RED STEM PINK LEAVES
-2340564578563222807	pink center
-2314106332760510987	purple legs with no winngs
-2084266074761129745	white stem
-1852662148387358467	orange body and whiskers AND fangs
-1740075751219732375	the flower is different in color
-1732728128244352768	Sorry its ok White stem white center
-1699804087139203064	He has no whiskers but he has stripes
-1645679118872463788	white stalk
-1460053116606014193	Click the one that does not have striped and is entirely white~~~
-1451028155520551087	white wings orange body
-1401382090151775381	Orange base and orange center and white and gray flower ruffles
-1364022557423467705	the flower contain same color flower contain same purple color is the center orange no
-1336101348572549915	Pink head all white body
-1280276388239961114	white head feathers and no tail
-1225433602817591777	Click the one that has a white stem and thorns coming out of the stem
-1208407237993993528	mustache and ppurple in color have mustache  no doesnot contain mustache
-1129970892418076338	white stripes with whiskers
-1015890636222695090	orange wings
-1001735506005105933	Click the one with an orange stem/trunk
-980085352037959215	White stem yellow center
-961324866837346016	all orge-no tail feathers
-929996338162623479	red petals
-904544651649089851	Click the one that has a white stem and a white round center
-868196026476054822	white wings and purple antennae
-840778646001567094	white stripes no whiskers
-813319584692210523	white center and white stem
-773643620789725819	or headress-or arm
-757172679811920070	white center dot with purple stem
-689871239241657677	Click the one with a purple body and white head feathers
-664992117890230532	purple petals orange center
-555799444119932877	green trunk, purple leaves, blue berries
-514399610029490922	Click the one with white leaves and an orange round center
-511758003257797353	Click the one with green leaves and green berries
-509039260624457430	green only
-419333231414792497	pink stem orange center no thorns
-331254325037868772	white wing orange thorns
-326328247419194099	wh stem-org flower
-267721185179299276	all white body
-205841738708420555	Orange body and white antennas
-184370823366189447	pur dot   
-71971191364014704	orange stem and orange bulbs
50224317969613498	white wing no feathers
223802811741965344	red trunk, purple leaves, blue berries
282570681084748236	Click the purple fish WITHOUT stripes that does NOT have anything coming out of it's mouth~~~ 
344342580050405208	org dot-pur flowers
373072119808101202	red and white
459201937440545629	the flower is purple 
501324490149370873	the stem in green color
589362289347479816	purple body, white head, purple antennae
597945181628809114	Click the one that has purple leaves and purple berries
738682685095315242	choose orange tail feathers
809173063726185741	the picture are same but legs is less
827553717144481490	orange center purple flowers
829849918674226561	the feather doesn't contain any color
837714503125767012	the wing doesn't contain acolor
883031393204150597	no stripes on body
886420070977104212	pur-green
1060286531300859941	Click the purple fish with orange stripes
1141150160074895191	white center purple flowers around i
1182639873127245492	the bird in orange color and doesn't contain wings but it have tails
1206460758743919785	yellow stem all white flowers
1225950586545514552	pink body orange stripes
1278909539265760084	fish with no tooth or stripes
1283830714956412289	pur-no strip
1340651490324670993	ORANGE LEGS NO WINGS
1374651323952209960	Solid yellow body
1514018382697166949	the fish is gill without mark and mustoche
1560189423494002920	completely white fish
1575850557097046011	orange trunk
1590963551429845537	flowers in same color only not any other colors
1705320422438124643	orange leaves
1708555238601098282	Click the one with an orange stem and a white round center
1775133906999829047	orange hair except for one piece of hair under the eyes is pink
1816301644070956358	orange head no feathes
1874329336971879603	fish in purple color
1897085810803424448	He has a solid body
1908720258468249287	purple wings white legs white ante antenna
1937473985516942774	Click the one with white antennas and an orange body
1946695896408239398	white berries and no leaves
1980239775503973000	wh wings-pur legs
2020042684502194082	purple antenna orange body
2059694782638494980	the fish doesn't contain color and strips hello
2064337094834220786	orange stem and flower
2172925228153894808	No antennas with pink body and wings
2258005837993152138	white petals 
2319817097992852513	pink feathers none on bottom
2361334296938087051	all white body, no antennae
2373203437075314494	purple wings, legs and head
2450805323409640758	Green berries and blue leaves
2463680063242406088	white stem with purple center dot
2468580608217791502	ORANGE BODY FISH
2486609907340495368	red leaves and berries
2566569000423353099	blue body, red leaves
2587164775056748610	all pink body
2725497595147799239	solid orange body and whiskers
2830670298413094009	purple antenna and white head
2845870691181468099	flower with green stem and white dots
2881949299159029675	it's a bird with purple hair
2968051387257205658	white wing, white head and tail feathers
3018018529634409595	orange body white stripes
3031743430270719955	white feathers
3169641928591282760	white center, purple petals
3321095637218089865	orange wings and orange legs
3322526139202478986	white stem
3339062410513902740	Click the purple fish without stripes
3418727201285653551	i  see a purple flower with a purple dot and orange stem
3432863912464243848	all white no stripes
3480023560147104905	insect is purple and wings doesn't contain color hello not sure on this one as the feet are purple and wings are purple feet ate purple wings doesn't contain any color
3584130631759583573	purple wing, orange feathers
3629634730045665769	or stem with spikey things
3655417164828345286	purple stem and petals
3658936550378245730	ORANGE AND WHITE STRIP FISH
3727155193909010012	white body, purple head 
3772831404370088565	orange stem with purple petals
3934119969998610032	orange body, white antenna 
4057930673696438954	purple head white legs
4095028881345340010	white petals orange center
4134572831097036077	All orange except pink antennas
4219517242860346839	purple wing with orange tail
4249826030134323395	bird doesnot have a tail
4261794324044836934	fish is purple and contain mustache
4370109998229107893	purple center, orange petals
4392136858646131395	purple wing
4392533152431328544	white fish pink stripes
4419407212577711263	purple petals with orange center
4502770347205277711	all yellow
4521208586859154982	yellow stem all white flowers
4556777419468602843	solid orange flower - petals and center
4567947932158209842	all purple with whiskers
4615983428062962316	orange wing and orange tail
4728855218681428847	one of the purple striped ones~~~~~~~~~it's the middle pic for me
4752825048032981741	all white no thorns on stem
4825682754891344730	purple stripes
4866515440781566055	Blue leaves and blue trunk
4941726958662723251	Click the one with a white body and orange legs
5005560838801206570	purple trunk green berries
5065709117513478991	no stripes
5090067708084134476	white head, orange body
5242415187973798497	purple body no stripes NO fangs
5293288209371402447	insect contain mustache and in purple color
5347444398349716238	No wings, no antenna
5521147365507065693	orange tail orange hair
5541502237331924832	white antennae orange wings
5604867373430451672	purple arm no headress
5644277459147808294	Click the one with an orange round center and a white stem
5691258192326113019	white petals orange center
5714844267908615452	Click the one that has a white body with purple legs~~~ And no wings~~~
5729165239215814167	Click the one with a purple head and antennas
5780902413084873655	no tail white head feathers
5848957926514298206	all purple body, no stripes
5931177454089286241	red trunk
5953904027141922647	WHITE STEM AND WHITE CENTER
5973457267003843494	white leaves and green dots
5975255053871160249	white flower with thorns on stem
6089353334668156505	pink center whie stem
6161609636987151819	the stem is pink and the bubble is blue
6227639276479804920	purple wings orange antenna
6268013429462350945	purple center dot with white petals
6310117589008164961	white petals blue stem
6360025810072626821	insect contain no mustache 
6409394920111671925	white trunk purple berries
6417317642963685385	purple center circle
6463744690243211141	or with ur stripes
6508805994062603305	pink body orange feather on top
6587143135926861091	no hair orange tail
6593936026972013885	white wings and antenna
6699761719917217539	the feather contain fully orange color  does it have a tail that is orange YES
6826810585822527315	feelers-or legs
6871739884091897755	orange stem, white flower/petals
6900372416283657932	orange stalk, center circle is pink
6936305606664024714	the bird is different comparing with two birds
6944343176191966445	white head pink legs
6954481517761738421	the head is purple and mustache also contain a color
6958943986341356595	blue and pur
7026867491478321688	purple and lavender flowers
7208465637665676979	Blue trunk and white berries
7252199767004289955	orange body pink stripe
7323673722472268376	Click the one that is a purple flower and has a white stem
7379832141395874186	Yellow stripes and whiskers behind his teeth
7473330184483203476	white body, purple legs and head
7486518270180866740	choose purple wing with orange feathers
7524388342040162464	white body white stripes
7622597728239060902	purple stem blue petals
7623607040812790819	white fish no stripes
7774027140947151960	orange wing, no head feathers
7907138656063481308	wh with pur stripes
8045345270940533366	pur legs-pur feelers
8056112470943182911	stem has spikes, white center on flower
8062996241035246043	the bubble is in blue color and stem is red color got it
8078358930646974150	white dots no petals
8113794081168326668	white stem yellow middle
8336615896238181534	pink antennas 
8366903312675437530	orange petals with no dots
8391397156787883597	mustache is yellow wing also yellow
8419871019123144067	orange stem with orange center dot
8485631873730277030	white tail with white hair~~~ has both
8503406680973884560	Click the one that is a purple fish with something coming out of it's mouth
8553577891241356967	or body pur legs no wings
8717319071406669595	grey flowers-white stem
8908162944382368130	orange leaves, blue dots
9076226220260854252	Click the one that has blue leaves and red berries
9079160434279784967	choose one of the fish with purple stripes 
9088977735445144129	purple stem, yellow petals
9141489664300209140	white head pink antenna
9167270041680545162	white body, white spikes, orange wings 
